ADS131A04,,,
pin,type,name,side
1,input,AIN1N,left
2,input,AIN1P,left
3,input,AIN2N,left
4,input,AIN2P,left
5,input,AIN3N,left
6,input,AIN3P,left
7,input,AIN4N,left
8,input,AIN4P,left
9,power_in,AVDD,top
10,power_in,AVSS,bottom
11,output,VNCP,right
12,output,REFP,left
13,input,REFN,left
14,input,REFEXT,left
15,power_in,IOVDD,top
16,input,RESV,bottom
17,input,RESET,bottom
18,output,DONE,right
19,bidirectional,DRDY,right
20,input,DIN,right
21,output,DOUT,right
22,bidirectional,SCLK,right
23,input,CS,right
24,output,NC,bottom
25,input,XTAL1/CLKIN,bottom
26,output,XTAL2,bottom
27,power_in,GND,bottom
28,output,CAP,top
29,nc,NC,bottom
30,input,M0,bottom
31,input,M1,bottom
32,input,M2,bottom
